"","edgeuid","x"
"1",153101200,75
"2",153101208,110
"3",153101210,120
"4",153101214,110
"5",153101215,100
"6",153101216,95
"7",153101217,115
"8",153101244,5
"9",153101247,275
"10",153101249,285
"11",153101250,290
"12",153101350,5
"13",153101364,5
"14",153101365,160
"15",153101366,170
"16",153101367,170
"17",153101369,170
"18",153101370,195
"19",153101371,180
"20",153101372,190
"21",153101373,40
"22",153101374,5
"23",153101375,220
"24",153101376,200
"25",153101383,5
"26",153101384,5
"27",153101385,5
"28",153101386,5
"29",153101389,5
"30",153101391,5
"31",153101394,5
"32",153307209,10
"33",153307210,10
"34",153307211,10
"35",153307212,10
"36",153307213,10
"37",153307214,20
"38",153307215,85
"39",153307216,110
"40",153307217,120
"41",153307218,90
"42",153307220,15
"43",153307221,5
"44",153307222,115
"45",153307224,140
"46",153307225,50
"47",153307227,35
"48",153307229,215
"49",153307230,205
"50",153307231,5
"51",153307232,175
"52",153307237,180
"53",153307239,130
"54",153307240,150
"55",153308589,10
"56",153308590,455
"57",153308591,415
"58",153308592,455
"59",153308612,315
"60",153308613,335
"61",153308614,325
"62",153308615,345
"63",153308616,340
"64",153308617,185
"65",153308620,155
"66",153308621,10
"67",153308622,20
"68",153308623,20
"69",153308624,20
"70",153308625,20
"71",153308626,165
"72",153308629,455
"73",153308633,160
"74",153308636,10
"75",153308637,455
"76",153308638,400
"77",153308639,415
"78",153308640,410
"79",153308641,630
"80",153308642,145
"81",153308644,460
"82",153308646,455
"83",153308648,10
"84",153308653,630
"85",153308654,445
"86",153308655,455
"87",153308657,660
"88",153308658,615
"89",153308659,15
"90",153308660,25
"91",153308669,265
"92",153308671,460
"93",153308672,455
"94",153308673,455
"95",153308674,445
"96",153308675,375
"97",153308676,215
"98",153308677,365
"99",153308680,445
"100",153308681,440
"101",153308682,650
"102",153308683,650
"103",153308685,635
"104",153308686,620
"105",153308687,20
"106",153308689,65
"107",153308690,20
"108",153308694,65
"109",153308696,525
"110",153308699,10
"111",153308700,360
"112",153308701,310
"113",153308702,360
"114",153308703,350
"115",153308704,590
"116",153308706,5
"117",153308707,20
"118",153308708,25
"119",153308709,40
"120",153308710,55
"121",153308711,560
"122",153308712,600
"123",153308713,600
"124",153308714,610
"125",153308720,40
"126",153308721,65
"127",153308723,20
"128",153308724,40
"129",153308725,10
"130",153308726,30
"131",153308727,15
"132",153308728,5
"133",153308729,5
"134",153308730,30
"135",153308731,5
"136",153308732,15
"137",153308733,50
"138",153308737,90
"139",153308739,15
"140",153308740,55
"141",153308742,5
"142",153308857,5
"143",153308863,40
"144",153308864,35
"145",153308866,55
"146",153308872,10
"147",153308874,75
"148",153308875,10
"149",153308879,20
"150",153308880,5
"151",153308881,20
"152",153308882,20
"153",153308883,30
"154",153308885,110
